,congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2,Congress,ID #,committees,bioguide
24,74,House,2081.0,71,15,CA,100,0.0,1.0,"COSTELLO, John Martin",C000795,1903.0,1976.0,-0.087,0.27699999999999997,-99.91875999999999,0.604,198.0,45.0,,-0.087,0.381,,,,
25,74,House,2634.0,71,16,CA,100,0.0,1.0,"DOCKWEILER, John Francis",D000387,1895.0,1943.0,-0.34,-0.272,-47.66832,0.723,147.0,24.0,,-0.261,-0.055999999999999994,,,,
26,74,House,2966.0,71,2,CA,200,0.0,1.0,"ENGLEBRIGHT, Harry Lane",E000182,1884.0,1943.0,0.14400000000000002,-0.462,-48.434540000000005,0.7390000000000001,160.0,20.0,,0.222,-0.414,,,,
27,74,House,3273.0,71,14,CA,100,0.0,1.0,"FORD, Thomas Francis",F000267,1873.0,1958.0,-0.61,-0.40700000000000003,-52.82824,0.733,170.0,23.0,,-0.589,-0.040999999999999995,,,,
28,74,House,3518.0,71,9,CA,200,0.0,1.0,"GEARHART, Bertrand Wesley",G000111,1890.0,1955.0,0.127,-0.099,-89.46321,0.615,184.0,42.0,,0.027000000000000003,-0.366,,,,
29,74,House,4481.0,71,12,CA,100,0.0,1.0,"HOEPPEL, John Henry",H000677,1881.0,1976.0,-0.14400000000000002,-0.491,-80.74336,0.502,117.0,45.0,,-0.301,-0.9540000000000001,,,,
30,74,House,5089.0,71,4,CA,200,0.0,1.0,"KAHN, Florence Prag",K000002,1866.0,1948.0,0.168,-0.986,-43.28153,0.7879999999999999,182.0,20.0,,0.18600000000000003,-0.759,,,,
31,74,House,5363.0,71,13,CA,100,0.0,1.0,"KRAMER, Charles",K000321,1879.0,1943.0,-0.28600000000000003,0.105,-57.203509999999994,0.7340000000000001,185.0,22.0,,-0.353,-0.14400000000000002,,,,
32,74,House,5531.0,71,1,CA,100,0.0,1.0,"LEA, Clarence Frederick",L000163,1874.0,1964.0,-0.081,0.135,-59.35098000000001,0.695,163.0,25.0,,-0.31,0.006999999999999999,,,,
33,74,House,6261.0,71,8,CA,100,0.0,1.0,"McGRATH, John Joseph",M000457,1872.0,1951.0,-0.46399999999999997,-0.285,-34.915420000000005,0.802,158.0,10.0,,-0.49,-0.225,,,,
34,74,House,6264.0,71,11,CA,100,0.0,1.0,"McGROARTY, John Steven",M000462,1862.0,1944.0,-0.111,0.026000000000000002,-53.770830000000004,0.5539999999999999,91.0,27.0,,-0.43,-0.903,,,,
35,74,House,8292.0,71,18,CA,100,0.0,1.0,"SCOTT, Byron Nicholson",S000165,1903.0,1991.0,-0.413,-0.45,-79.02752,0.637,175.0,45.0,,-0.5720000000000001,-0.789,,,,
36,74,House,9057.0,71,10,CA,100,0.0,1.0,"STUBBS, Henry Elbert",S001038,1881.0,1937.0,-0.195,0.193,-49.622820000000004,0.7290000000000001,157.0,21.0,,-0.221,0.146,,,,
37,74,House,9406.0,71,7,CA,100,0.0,1.0,"TOLAN, John Harvey",T000295,1877.0,1947.0,-0.31,-0.198,-49.84955,0.755,177.0,19.0,,-0.349,-0.109,,,,
38,74,House,9928.0,71,5,CA,200,0.0,1.0,"WELCH, Richard Joseph",W000265,1869.0,1949.0,-0.174,-0.853,-79.15001,0.631,172.0,42.0,,-0.175,-0.585,,,,
39,74,House,2249.0,62,2,CO,100,0.0,1.0,"CUMMINGS, Fred Nelson",C000985,1864.0,1952.0,-0.243,0.6,-33.5482,0.797,148.0,16.0,,-0.282,0.45799999999999996,,,,
40,74,House,5647.0,62,1,CO,100,0.0,1.0,"LEWIS, Lawrence",L000291,1879.0,1943.0,-0.138,0.439,-85.74636,0.6579999999999999,205.0,43.0,,-0.132,0.48700000000000004,,,,
41,74,House,6028.0,62,3,CO,100,0.0,1.0,"MARTIN, John Andrew",M000186,1868.0,1939.0,-0.255,-0.015,-59.58035,0.738,196.0,31.0,,-0.387,-0.23600000000000002,,,,
42,74,House,9205.0,62,4,CO,100,0.0,1.0,"TAYLOR, Edward Thomas",T000072,1858.0,1941.0,-0.11900000000000001,0.6509999999999999,-40.82978,0.782,166.0,19.0,,-0.397,0.565,,,,
43,74,House,1730.0,1,99,CT,100,0.0,1.0,"CITRON, William Michael",C000397,1896.0,1976.0,-0.38299999999999995,-0.46299999999999997,-64.78168000000001,0.711,190.0,33.0,,-0.375,-0.408,,,,
44,74,House,4400.0,1,2,CT,200,0.0,1.0,"HIGGINS, William Lincoln",H000580,1867.0,1951.0,0.375,-0.927,-26.60772,0.823,137.0,14.0,,0.513,-0.858,,,,
45,74,House,5359.0,1,1,CT,100,0.0,1.0,"KOPPLEMANN, Herman Paul",K000315,1880.0,1957.0,-0.435,-0.408,-47.250859999999996,0.746,161.0,24.0,,-0.428,-0.273,,,,
46,74,House,6436.0,1,4,CT,200,0.0,1.0,"MERRITT, Schuyler",M000663,1853.0,1953.0,0.5660000000000001,-0.8240000000000001,-37.9232,0.8,170.0,15.0,,0.625,-0.5429999999999999,,,,
47,74,House,8399.0,1,3,CT,100,0.0,1.0,"SHANLEY, James Andrew",S000285,1896.0,1965.0,-0.389,-0.579,-79.71155,0.667,197.0,41.0,,-0.20199999999999999,-0.086,,,,
48,74,House,8653.0,1,5,CT,100,0.0,1.0,"SMITH, John Joseph",S000572,1904.0,1980.0,-0.218,-0.122,-70.17993,0.695,193.0,32.0,,-0.14800000000000002,0.14400000000000002,,,,
49,74,House,8941.0,11,1,DE,200,0.0,1.0,"STEWART, John George",S000915,1890.0,1970.0,0.353,-0.7070000000000001,-35.53865,0.7829999999999999,145.0,19.0,,0.355,-0.597,,,,
50,74,House,1412.0,43,3,FL,100,0.0,1.0,"CALDWELL, Millard Fillmore",C000038,1897.0,1984.0,-0.142,0.904,-40.32066,0.7809999999999999,163.0,18.0,,-0.256,0.541,,,,
51,74,House,3781.0,43,2,FL,100,0.0,1.0,"GREEN, Robert Alexis (Lex)",G000415,1892.0,1973.0,-0.223,0.591,-41.12663,0.778,164.0,22.0,,-0.26,0.759,,,,
52,74,House,7372.0,43,1,FL,100,0.0,1.0,"PETERSON, James Hardin",P000261,1894.0,1978.0,-0.18,0.7390000000000001,-44.6945,0.769,170.0,21.0,,-0.322,0.31,,,,
53,74,House,8335.0,43,99,FL,100,0.0,1.0,"SEARS, William Joseph",S000211,1874.0,1944.0,-0.34600000000000003,0.371,-39.58505,0.7709999999999999,152.0,14.0,,-0.24100000000000002,0.48700000000000004,,,,
54,74,House,10100.0,43,4,FL,100,0.0,1.0,"WILCOX, James Mark",W000455,1890.0,1956.0,-0.196,0.725,-45.85689,0.765,171.0,22.0,,-0.308,0.235,,,,
55,74,House,1130.0,44,10,GA,100,0.0,1.0,"BROWN, Paul",B000940,1880.0,1961.0,-0.191,0.982,-47.72298,0.7929999999999999,206.0,21.0,,-0.204,0.6859999999999999,,,,
56,74,House,1589.0,44,3,GA,100,0.0,1.0,"CASTELLOW, Bryant Thomas",C000240,1876.0,1962.0,0.063,0.998,-88.00375,0.65,204.0,47.0,,0.109,0.9940000000000001,,,,
57,74,House,2111.0,44,2,GA,100,0.0,1.0,"COX, Edward Eugene",C000831,1880.0,1952.0,-0.03,0.951,-71.70378000000001,0.6859999999999999,190.0,31.0,,-0.071,0.997,,,,
58,74,House,2459.0,44,8,GA,100,0.0,1.0,"DEEN, Braswell Drue",D000187,1893.0,1981.0,-0.038,0.883,-83.16233000000001,0.636,184.0,38.0,,-0.009000000000000001,0.7040000000000001,,,,
59,74,House,7129.0,44,4,GA,100,0.0,1.0,"OWEN, Emmett Marshall",O000149,1877.0,1939.0,-0.084,0.996,-45.426759999999994,0.775,178.0,19.0,,-0.196,0.762,,,,
60,74,House,7371.0,44,1,GA,100,0.0,1.0,"PETERSON, Hugh",P000260,1898.0,1961.0,0.006,0.985,-97.85556,0.593,187.0,48.0,,0.11900000000000001,0.93,,,,
61,74,House,7709.0,44,5,GA,100,0.0,1.0,"RAMSPECK, Robert C. Word",R000032,1890.0,1972.0,-0.21,0.408,-95.23576,0.606,190.0,35.0,,-0.039,0.43,,,,
62,74,House,9183.0,44,7,GA,100,0.0,1.0,"TARVER, Malcolm Connor",T000045,1885.0,1960.0,-0.027999999999999997,1.0,-121.67226000000001,0.539,197.0,62.0,,0.16,0.987,,,,
63,74,House,9677.0,44,6,GA,100,0.0,1.0,"VINSON, Carl",V000105,1883.0,1981.0,-0.212,0.728,-44.42021,0.778,177.0,24.0,,-0.17,0.539,,,,
64,74,House,9997.0,44,9,GA,100,0.0,1.0,"WHELCHEL, Benjamin Frank",W000343,1895.0,1954.0,-0.07400000000000001,0.983,-60.64365,0.73,193.0,27.0,,-0.067,0.833,,,,
65,74,House,1760.0,63,2,ID,100,0.0,1.0,"CLARK, David Worth",C000428,1902.0,1955.0,0.01,0.8240000000000001,-33.97772,0.688,91.0,13.0,,-0.376,-0.015,,,,
66,74,House,10015.0,63,1,ID,100,0.0,1.0,"WHITE, Compton Ignatius",W000361,1877.0,1956.0,-0.177,0.14800000000000002,-69.80776999999999,0.626,149.0,32.0,,-0.611,-0.753,,,,
67,74,House,19.0,21,15,IL,100,0.0,1.0,"ADAIR, Jackson Leroy",A000025,1887.0,1956.0,-0.24,0.024,-45.44254,0.726,142.0,25.0,,-0.166,0.225,,,,
68,74,House,121.0,21,13,IL,200,0.0,1.0,"ALLEN, Leo Elwood",A000138,1898.0,1973.0,0.384,-0.091,-43.43482,0.777,172.0,18.0,,0.402,-0.062,,,,
69,74,House,226.0,21,17,IL,200,0.0,1.0,"ARENDS, Leslie Cornelius",A000216,1895.0,1985.0,0.301,-0.187,-50.479890000000005,0.762,186.0,18.0,,0.331,-0.10400000000000001,,,,
70,74,House,252.0,21,23,IL,100,0.0,1.0,"ARNOLD, William Wright",A000300,1877.0,1957.0,-0.131,0.649,-24.09047,0.8170000000000001,119.0,6.0,,-0.337,0.652,,,,
71,74,House,548.0,21,4,IL,100,0.0,1.0,"BEAM, Harry Peter",B000274,1892.0,1967.0,-0.376,-0.363,-58.1691,0.6659999999999999,143.0,28.0,,-0.24600000000000002,-0.11199999999999999,,,,
72,74,House,1004.0,21,99,IL,100,0.0,1.0,"BRENNAN, Martin Adlai",B000799,1879.0,1941.0,-0.332,0.016,-26.703359999999996,0.757,96.0,12.0,,-0.293,-0.163,,,,
73,74,House,1201.0,21,12,IL,200,0.0,1.0,"BUCKBEE, John Theodore",B001020,1871.0,1936.0,0.249,-0.132,-29.36815,0.784,121.0,10.0,,0.244,-0.531,,,,
74,74,House,1723.0,21,10,IL,200,0.0,1.0,"CHURCH, Ralph Edwin",C000390,1883.0,1950.0,0.40700000000000003,-0.243,-55.72073,0.763,206.0,24.0,,0.368,-0.17800000000000002,,,,
75,74,House,2609.0,21,16,IL,200,0.0,1.0,"DIRKSEN, Everett McKinley",D000360,1896.0,1969.0,0.317,-0.498,-57.111380000000004,0.687,152.0,29.0,,0.195,-0.43200000000000005,,,,
76,74,House,2629.0,21,19,IL,100,0.0,1.0,"DOBBINS, Donald Claude",D000382,1878.0,1943.0,-0.11599999999999999,0.512,-63.55014,0.7040000000000001,181.0,33.0,,-0.122,0.5870000000000001,,,,
77,74,House,4793.0,21,99,IL,100,0.0,1.0,"IGOE, Michael Lambert",I000004,1885.0,1967.0,-0.365,-0.017,-8.86237,0.81,42.0,3.0,,-0.34600000000000003,0.024,,,,
78,74,House,5134.0,21,25,IL,100,0.0,1.0,"KELLER, Kent Ellsworth",K000056,1867.0,1954.0,-0.406,-0.187,-59.8611,0.693,163.0,28.0,,-0.22,0.171,,,,
79,74,House,5149.0,21,3,IL,100,0.0,1.0,"KELLY, Edward Austin",K000071,1892.0,1969.0,-0.259,-0.318,-61.81256,0.655,146.0,29.0,,-0.27399999999999997,-0.349,,,,
80,74,House,5353.0,21,8,IL,100,0.0,1.0,"KOCIALKOWSKI, Leo Paul",K000303,1882.0,1958.0,-0.222,0.33799999999999997,-52.959030000000006,0.753,187.0,26.0,,-0.278,0.409,,,,
81,74,House,5823.0,21,20,IL,100,0.0,1.0,"LUCAS, Scott Wike",L000493,1892.0,1968.0,-0.313,-0.13699999999999998,-28.60567,0.7909999999999999,122.0,13.0,,-0.287,0.196,,,,
82,74,House,6051.0,21,21,IL,100,0.0,1.0,"MASON, Harry Howland",M000214,1873.0,1946.0,-0.175,0.17600000000000002,-61.145830000000004,0.725,190.0,29.0,,-0.17,0.187,,,,
83,74,House,6122.0,21,9,IL,100,0.0,1.0,"McANDREWS, James",M000296,1862.0,1942.0,-0.317,-0.521,-68.66271,0.6779999999999999,177.0,32.0,,-0.215,-0.14,,,,
84,74,House,6303.0,21,2,IL,100,0.0,1.0,"McKEOUGH, Raymond Stephen",M000510,1888.0,1979.0,-0.46299999999999997,-0.588,-55.73041,0.73,177.0,26.0,,-0.41600000000000004,-0.5429999999999999,,,,
85,74,House,6406.0,21,18,IL,100,0.0,1.0,"MEEKS, James Andrew",M000631,1864.0,1946.0,-0.177,0.14,-50.67665,0.7340000000000001,164.0,30.0,,-0.185,0.273,,,,
86,74,House,6554.0,21,1,IL,100,0.0,1.0,"MITCHELL, Arthur Wergs",M000805,1883.0,1968.0,-0.27699999999999997,0.115,-50.02915,0.716,150.0,20.0,,-0.16899999999999998,0.387,,,,
87,74,House,7004.0,21,6,IL,100,0.0,1.0,"O'BRIEN, Thomas Joseph",O000016,1878.0,1964.0,-0.365,-0.223,-76.05282,0.652,178.0,38.0,,-0.22,-0.192,,,,
88,74,House,7218.0,21,24,IL,100,0.0,1.0,"PARSONS, Claude VanCleve",P000086,1895.0,1941.0,-0.209,0.19,-69.81375,0.705,200.0,32.0,,-0.16,0.131,,,,
89,74,House,7779.0,21,11,IL,200,0.0,1.0,"REED, Chauncey William",R000111,1890.0,1956.0,0.384,-0.27899999999999997,-58.542559999999995,0.748,202.0,18.0,,0.292,-0.418,,,,
90,74,House,8163.0,21,5,IL,100,0.0,1.0,"SABATH, Adolph Joachim",S000001,1866.0,1952.0,-0.469,-0.361,-26.878709999999998,0.818,134.0,9.0,,-0.525,0.159,,,,
91,74,House,8252.0,21,22,IL,100,0.0,1.0,"SCHAEFER, Edwin Martin",S000110,1887.0,1950.0,-0.177,0.16399999999999998,-55.95344,0.703,159.0,28.0,,-0.057999999999999996,0.43799999999999994,,,,
92,74,House,8274.0,21,7,IL,100,0.0,1.0,"SCHUETZ, Leonard William",S000144,1887.0,1944.0,-0.299,-0.182,-58.77591999999999,0.659,141.0,25.0,,-0.139,0.10800000000000001,,,,
93,74,House,9319.0,21,14,IL,100,0.0,1.0,"THOMPSON, Chester Charles",T000197,1893.0,1971.0,-0.198,0.11199999999999999,-62.74641999999999,0.715,187.0,28.0,,-0.18100000000000002,0.109,,,,
94,74,House,820.0,22,8,IN,100,0.0,1.0,"BOEHNE, John William, Jr.",B000588,1895.0,1973.0,-0.106,0.218,-57.28593000000001,0.708,166.0,21.0,,-0.146,0.43799999999999994,,,,
95,74,House,2207.0,22,9,IN,100,0.0,1.0,"CROWE, Eugene Burgess",C000940,1878.0,1970.0,-0.306,0.263,-53.66008000000001,0.754,190.0,28.0,,-0.31,0.36700000000000005,,,,
96,74,House,3060.0,22,4,IN,100,0.0,1.0,"FARLEY, James Indus",F000019,1871.0,1948.0,-0.19899999999999998,0.27899999999999997,-55.11253000000001,0.7070000000000001,159.0,25.0,,-0.094,0.5720000000000001,,,,
97,74,House,3764.0,22,10,IN,100,0.0,1.0,"GRAY, Finly Hutchinson",G000395,1863.0,1947.0,-0.094,0.456,-116.80786,0.507,172.0,59.0,,0.04,0.733,,,,
98,74,House,3801.0,22,7,IN,100,0.0,1.0,"GREENWOOD, Arthur Herbert",G000437,1880.0,1963.0,-0.182,0.568,-40.41766,0.782,164.0,19.0,,-0.401,0.314,,,,
99,74,House,3841.0,22,5,IN,100,0.0,1.0,"GRISWOLD, Glenn Hasenfratz",G000483,1890.0,1940.0,-0.061,0.313,-89.01034,0.601,175.0,48.0,,-0.015,0.466,,,,
100,74,House,3963.0,22,2,IN,200,2.0,2.0,"HALLECK, Charles Abraham",H000081,1900.0,1986.0,0.272,-0.28800000000000003,-60.38723,0.718,182.0,25.0,,0.327,0.08900000000000001,,,,
101,74,House,4908.0,22,6,IN,100,0.0,1.0,"JENCKES, Virginia Ellis",J000077,1877.0,1975.0,-0.253,-0.003,-66.76037,0.669,166.0,28.0,,-0.193,0.18,,,,
102,74,House,5479.0,22,11,IN,100,0.0,1.0,"LARRABEE, William Henry",L000100,1870.0,1960.0,-0.298,0.10800000000000001,-54.437169999999995,0.7040000000000001,155.0,26.0,,-0.201,0.578,,,,
103,74,House,5831.0,22,12,IN,100,0.0,1.0,"LUDLOW, Louis Leon",L000501,1873.0,1950.0,-0.12300000000000001,-0.054000000000000006,-148.94218999999998,0.47700000000000004,201.0,79.0,,0.12300000000000001,0.6709999999999999,,,,
104,74,House,7376.0,22,3,IN,100,0.0,1.0,"PETTENGILL, Samuel Barrett",P000268,1886.0,1974.0,0.022000000000000002,0.33,-98.01066,0.5710000000000001,175.0,42.0,,0.11599999999999999,0.606,,,,
105,74,House,8275.0,22,1,IN,100,0.0,1.0,"SCHULTE, William Theodore",S000145,1890.0,1966.0,-0.42700000000000005,-0.41700000000000004,-41.69355,0.7759999999999999,164.0,17.0,,-0.511,-0.33,,,,
106,74,House,700.0,31,4,IA,100,0.0,1.0,"BIERMANN, Frederick Elliott",B000449,1884.0,1968.0,-0.126,0.41200000000000003,-98.4103,0.5820000000000001,182.0,48.0,,-0.040999999999999995,0.574,,,,
107,74,House,2884.0,31,1,IA,100,0.0,1.0,"EICHER, Edward Clayton",E000094,1878.0,1944.0,-0.22699999999999998,-0.122,-87.09271,0.557,149.0,40.0,,0.037000000000000005,0.71,,,,
108,74,House,3580.0,31,8,IA,200,0.0,1.0,"GILCHRIST, Fred Cramer",G000181,1868.0,1950.0,0.22399999999999998,0.305,-101.92759000000001,0.5760000000000001,185.0,50.0,,0.161,0.01,,,,
109,74,House,3603.0,31,9,IA,100,0.0,1.0,"GILLETTE, Guy Mark",G000205,1879.0,1973.0,-0.076,0.35600000000000004,-67.06792,0.624,142.0,38.0,,-0.12300000000000001,0.222,,,,
110,74,House,3890.0,31,3,IA,200,0.0,1.0,"GWYNNE, John Williams",G000543,1889.0,1972.0,0.337,0.193,-86.84033000000001,0.624,184.0,45.0,,0.201,0.01,,,,
111,74,House,4873.0,31,2,IA,100,0.0,1.0,"JACOBSEN, Bernhard Martin",J000038,1862.0,1936.0,-0.28600000000000003,0.009000000000000001,-59.59243000000001,0.721,182.0,29.0,,-0.22399999999999998,0.078,,,,
112,74,House,9372.0,31,5,IA,200,0.0,1.0,"THURSTON, Lloyd",T000257,1880.0,1970.0,0.391,0.537,-72.25026,0.669,180.0,32.0,,0.405,0.38,,,,
113,74,House,9580.0,31,6,IA,100,0.0,1.0,"UTTERBACK, Hubert",U000036,1880.0,1942.0,-0.248,0.613,-72.48346,0.664,177.0,34.0,,-0.24,0.674,,,,
114,74,House,9890.0,31,7,IA,100,0.0,1.0,"WEARIN, Otha Donner",W000221,1903.0,1990.0,-0.237,0.10099999999999999,-84.45285,0.64,189.0,42.0,,-0.129,0.457,,,,
115,74,House,1510.0,32,6,KS,200,0.0,1.0,"CARLSON, Frank",C000154,1893.0,1987.0,0.23199999999999998,-0.243,-73.80284,0.688,197.0,37.0,,0.308,0.114,,,,
116,74,House,1526.0,32,4,KS,100,0.0,1.0,"CARPENTER, William Randolph",C000173,1894.0,1956.0,0.071,0.696,-104.88175,0.5820000000000001,194.0,49.0,,0.102,0.924,,,,
117,74,House,3885.0,32,2,KS,200,0.0,1.0,"GUYER, Ulysses Samuel",G000538,1868.0,1943.0,0.335,0.266,-73.22196,0.682,191.0,35.0,,0.24,0.099,,,,
118,74,House,4562.0,32,7,KS,200,0.0,1.0,"HOPE, Clifford Ragsdale",H000768,1893.0,1970.0,0.231,0.095,-67.59874,0.6990000000000001,189.0,30.0,,0.289,0.09,,,,
119,74,House,4612.0,32,5,KS,100,0.0,1.0,"HOUSTON, John Mills",H000824,1890.0,1975.0,-0.209,0.0,-70.06518,0.6829999999999999,184.0,36.0,,-0.28800000000000003,-0.12300000000000001,,,,
120,74,House,5422.0,32,1,KS,200,0.0,1.0,"LAMBERTSON, William Purnell",L000037,1880.0,1957.0,0.371,0.62,-102.8298,0.556,175.0,56.0,,0.182,0.28600000000000003,,,,
121,74,House,7238.0,32,3,KS,100,0.0,1.0,"PATTERSON, Edward White",P000111,1895.0,1940.0,-0.08,0.162,-127.47783999999999,0.539,206.0,74.0,,0.07400000000000001,0.884,,,,
122,74,House,1499.0,51,4,KY,100,1.0,1.0,"CARDEN, Cap Robert",C000140,1866.0,1935.0,-0.345,0.7020000000000001,-6.90641,0.8340000000000001,38.0,4.0,,-0.212,0.528,,,,
123,74,House,1563.0,51,2,KY,100,0.0,1.0,"CARY, Glover H.",C000214,1885.0,1936.0,-0.26899999999999996,0.6970000000000001,-21.73679,0.8440000000000001,128.0,10.0,,-0.252,0.546,,,,
124,74,House,1659.0,51,6,KY,100,0.0,1.0,"CHAPMAN, Virgil Munday",C000317,1895.0,1951.0,-0.11800000000000001,0.7609999999999999,-37.632659999999994,0.7929999999999999,162.0,18.0,,-0.228,0.625,,,,
125,74,House,2168.0,51,4,KY,100,2.0,2.0,"CREAL, Edward Wester",C000898,1883.0,1943.0,-0.22699999999999998,0.602,-13.17653,0.797,58.0,4.0,,-0.455,0.076,,,,
126,74,House,3810.0,51,1,KY,100,0.0,1.0,"GREGORY, William Voris",G000448,1877.0,1936.0,-0.244,0.828,-36.17699,0.825,188.0,16.0,,-0.245,0.845,,,,
127,74,House,6100.0,51,7,KY,100,0.0,1.0,"MAY, Andrew Jackson",M000272,1875.0,1959.0,-0.047,0.503,-100.99954,0.56,174.0,53.0,,0.040999999999999995,0.397,,,,
128,74,House,7073.0,51,3,KY,100,0.0,1.0,"O'NEAL, Emmet",O000089,1887.0,1967.0,-0.134,0.231,-86.34817,0.632,188.0,47.0,,-0.106,0.13699999999999998,,,,
129,74,House,7996.0,51,9,KY,200,0.0,1.0,"ROBSION, John Marshall",R000358,1873.0,1948.0,0.294,0.12300000000000001,-75.80455,0.639,169.0,29.0,,0.152,-0.442,,,,
130,74,House,8778.0,51,5,KY,100,0.0,1.0,"SPENCE, Brent",S000717,1874.0,1967.0,-0.35100000000000003,0.384,-41.77885,0.812,201.0,23.0,,-0.327,0.285,,,,
